Feature,Coeficiente,Abs_Coef,Odds_Ratio
DF_desemp_fisc,-0.219460734111281,0.219460734111281,0.8029516856855762
docen_total,-0.20714787404551585,0.20714787404551585,0.8128994343714473
iacv2_r2,-0.14226843357664168,0.14226843357664168,0.8673883890649808
ipm_serv_pinf_p_2018,-0.12354432252175282,0.12354432252175282,0.8837824689082735
ipm_ti_p_2018,0.10250184170896597,0.10250184170896597,1.1079393424097463
t_01_r4,-0.0951751722704831,0.0951751722704831,0.9092136514979718
ipm_hacinam_p_2018,-0.09251418802001883,0.09251418802001883,0.9116362765589634
iacv2_r3,-0.0909445919981607,0.0909445919981607,0.9130683007878
ipm_asisescu_p_2005,0.09040876864360456,0.09040876864360456,1.094621639269262
alumn_total,-0.08363465324874651,0.08363465324874651,0.9197672286870503
altura,-0.06777143607697562,0.06777143607697562,0.9344740362216092
iacv2_r4,-0.06224103969149609,0.06224103969149609,0.9396563650114811
indrural,-0.0511702293334451,0.0511702293334451,0.9501169189955738
petroleo_crudo_median,0.05063125137121802,0.05063125137121802,1.0519349221955694
y_corr_tribut_IyC,0.04927227223002639,0.04927227223002639,1.0505063355080317
t_07_r4,0.04509608734015115,0.04509608734015115,1.0461283747725252
t_01_r3,-0.042188428813785483,0.042188428813785483,0.9586891188986235
dept_code,-0.036920913114702185,0.036920913114702185,0.9637523525068832
t_01_r1,-0.03607705734595005,0.03607705734595005,0.9645659637261744
ipm_paredes_p_2018,0.035983296486861924,0.035983296486861924,1.0366385308409887
t_14_r2,0.03355117841563134,0.03355117841563134,1.0341203670139578
ipm_paredes_p_2005,0.026655834323904493,0.026655834323904493,1.0270142788679373
t_13_r2,-0.02488302103826254,0.02488302103826254,0.9754240094425825
t_04_r1,-0.024736964658218036,0.024736964658218036,0.9755664867470165
t_07_r3,0.024508577833444203,0.024508577833444203,1.0248113817308406
t_09_r3,0.024330810652565246,0.024330810652565246,1.0246292200922378
coca,0.024105721536028895,0.024105721536028895,1.0243986131608387
ipm_ti_p_2005,-0.023575561637591613,0.023575561637591613,0.9767001708161661
ia_r1,0.02342487022125938,0.02342487022125938,1.0237013873986922
ia_r2,0.02340692579664023,0.02340692579664023,1.0236830178311298
t_11_r4,0.02337842627407301,0.02337842627407301,1.0236538437695868
ipm_pisos_p_2005,-0.021824638886657758,0.021824638886657758,0.9784117953900112
t_11_r1,-0.021509909915509936,0.021509909915509936,0.9787197783907774
ipm_accagua_p_2018,-0.021404952746664263,0.021404952746664263,0.9788225074387913
t_11_r2,0.02087706099752442,0.02087706099752442,1.0210965113342523
t_04_r4,-0.01907118296374836,0.01907118296374836,0.9811095214735988
iacv2_r1,-0.015134198271146064,0.015134198271146064,0.9849797481540129
ipm_templeof_p_2018,-0.014997595297232963,0.014997595297232963,0.985114308507318
t_12_r4,0.012821012864732471,0.012821012864732471,1.0129035544284426
t_08_r1,0.012750651032457498,0.012750651032457498,1.0128322871857116
ipm_excretas_p_2005,-0.012710090214931179,0.012710090214931179,0.9873703418547926
oro_median,0.012506520046671342,0.012506520046671342,1.0125850536209198
ipm_hacinam_p_2005,-0.011880371093562306,0.011880371093562306,0.9881899218708885
t_09_r2,0.009088375715452877,0.009088375715452877,1.0091298004012925
dismdo,-0.008512611958570874,0.008512611958570874,0.9915235177305821
ipm_accsalud_p_2005,0.008294329463318874,0.008294329463318874,1.0083288227141178
covid_d,0.008180539149937015,0.008180539149937015,1.008214091189181
t_10_r1,0.008054914863024652,0.008054914863024652,1.0080874429681332
t_09_r4,0.007558250726528812,0.007558250726528812,1.0075868864032957
t_14_r1,0.007239489448391502,0.007239489448391502,1.007265757903936
igc_r1,0.007117141699158055,0.007117141699158055,1.0071425287441353
iif_r4,0.006729546083377016,0.006729546083377016,1.0067522403574474
ipm_assalud_p_2005,0.005573770792778057,0.005573770792778057,1.0055893331534456
t_17_r4,0.00505361369704058,0.00505361369704058,1.0050664047406606
cafe_arabica_median,-0.004884497664788365,0.004884497664788365,0.9951274120949753
t_10_r4,-0.004313123747890164,0.004313123747890164,0.995696164411883
igc_r2,0.004272576869994146,0.004272576869994146,1.0042817173396994
t_16_r4,-0.004271615622763129,0.004271615622763129,0.9957374947506304
t_14_r4,-0.0030296327020139066,0.0030296327020139066,0.9969749520039802
t_12_r3,0.0029160010139273893,0.0029160010139273893,1.0029202566803879
t_12_r2,0.0028914248561805684,0.0028914248561805684,1.0028956090568253
iif_r1,-0.002669933769668744,0.002669933769668744,0.9973336273334903
areaoficialkm2,-0.0022949059742474447,0.0022949059742474447,0.9977077253092336
t_16_r2,-0.0018261860832688068,0.0018261860832688068,0.9981754803799582
t_16_r1,-0.0013352628782908643,0.0013352628782908643,0.9986656281885392
t_05_r4,0.001313630127809396,0.001313630127809396,1.001314493317795
t_10_r2,0.001201031986207833,0.001201031986207833,1.0012017535139541
t_17_r3,0.0009111680938664755,0.0009111680938664755,1.0009115833336222
t_05_r1,-0.0006715893304262859,0.0006715893304262859,0.9993286361352118
ipm_ledu_p_2005,0.0,0.0,1.0
s11_total,0.0,0.0,1.0
