Feature,Importance
iacv_volatilidad,0.07795140459274005
iacv2_volatilidad,0.07630546982101442
population,0.06092558114612112
t_01_volatilidad,0.0411489147759207
t_01_n_mean_r1,0.025505361620221136
iacv_tendencia,0.022587745623246773
iacv_n_mean_r1,0.021898029957103226
indrural,0.021201762227739937
iacv2_n_mean_r1,0.020715562848290504
iacv2_aceleracion,0.019821688165119335
iacv2_n_mean_r3,0.019526171462008086
t_01_tendencia,0.019362845551036928
t_01_n_mean_r3,0.018956521346796998
t_01_n_mean_r2,0.018485170927601106
t_14_volatilidad,0.017935750686580088
iacv2_tendencia,0.017392294132312434
iacv_aceleracion,0.016994178260780975
t_01_aceleracion,0.01694667620578657
iacv2_r4,0.016643964260925515
t_13_volatilidad,0.01607961442248438
t_01_n_mean_r4,0.015141588469201694
iacv_r4,0.01402739654403865
iacv2_n_mean_r4,0.01381148979385748
distancia_mercado,0.011852345005877528
t_13_r4,0.011718247023831768
iacv2_r2,0.011511195719234328
areaoficialkm2,0.011065255106552742
iacv_r3,0.010645458576731145
iacv_n_mean_r3,0.010639348390967458
iacv2_n_mean_r2,0.010048717950074448
t_13_r1,0.009790543734268936
iacv_r2,0.009071152888254521
iacv_n_mean_r2,0.008902744767053807
iacv2_r3,0.00856544630001693
t_14_n_mean_r3,0.00808101778587044
iacv_r1,0.00798408167065829
iacv_n_mean_r4,0.007776449685118404
dismdo,0.007465287619229327
t_13_r3,0.007316194348308708
t_01_r2,0.0071918540204426624
t_12_r3,0.007186624741532107
iacv2_r1,0.00625838654859612
t_01_r4,0.005898403816415455
t_14_n_mean_r2,0.005755968531798213
t_12_volatilidad,0.005516217961477721
t_12_r4,0.004661412167313356
t_01_r3,0.004409551055945908
delta_ipm,0.004102894973803642
ntl_sum_q_volatilidad,0.004057070453219613
t_05_volatilidad,0.0038899413864756788
iacv_pos_relativa,0.0037001736675320003
t_04_volatilidad,0.0036365605812335817
dept_code,0.0033622054132443967
t_14_n_mean_r4,0.003129638808204569
delta_ipm_ledu_p,0.0030983583781241464
disbogota,0.0030828265308714764
t_13_r2,0.0028777290448599624
t_01_zscore_4q,0.002832859885060911
iacv2_pos_relativa,0.0027819763163516808
iacv2_zscore_4q,0.002767621365546987
t_12_r1,0.0027674173710915836
ntl_log_sum_q_r4,0.002538673318179982
t_04_n_mean_r2,0.0025007035626273956
t_14_n_mean_r1,0.002431997424462342
t_01_r1,0.002328117649230526
t_12_tendencia,0.002302015804501353
t_14_r3,0.002282182632226277
ntl_log_sum_q_r2,0.002259665497307593
ntl_sum_q_r4,0.0022016058289050238
t_12_r2,0.002067287015007349
t_09_volatilidad,0.0020335705898404024
t_09_n_mean_r3,0.0020286656447117187
ntl_log_sum_q_r3,0.0019508902557810403
iacv_zscore_4q,0.0019180904864401235
t_14_r4,0.0018858110848625667
t_14_r2,0.0018846155263660908
altura,0.0018385762950508505
delta_nbi,0.0017678676155061157
t_09_n_mean_r1,0.0015874717317633793
oro_mean_r1,0.0014701282354655431
women_share,0.0014356826300972881
t_14_r1,0.0014051419240693047
t_04_n_mean_r4,0.0013766374697810882
t_10_n_mean_r4,0.001368167890033633
t_03_n_mean_r3,0.0013265121277854927
ntl_sum_q_r1,0.0012859485545195822
t_01_pos_relativa,0.0012847532608150655
t_04_n_mean_r1,0.0012697853318065302
t_10_volatilidad,0.0012639945033171263
t_13_n_mean_r4,0.0012636468027857229
t_11_n_mean_r2,0.0012605988332632528
