Feature,Importance
population,0.03308608
iacv2_volatilidad,0.027658006
iacv_n_mean_r1,0.020089103
iacv2_n_mean_r1,0.019809356
iacv_volatilidad,0.019582301
iacv2_n_mean_r3,0.016938118
t_01_volatilidad,0.0157963
t_10_volatilidad,0.015711833
t_11_n_mean_r4,0.013740839
t_01_n_mean_r3,0.013719671
t_01_zscore_4q,0.013323865
dept_code,0.012983239
t_01_n_mean_r1,0.012931065
indrural,0.012630322
iacv_n_mean_r4,0.011547953
iacv2_n_mean_r4,0.011518188
iacv_r4,0.011407739
t_01_n_mean_r2,0.011334528
t_13_r1,0.010748112
t_01_r4,0.010700011
t_01_n_mean_r4,0.010416882
iacv2_r1,0.010316772
areaoficialkm2,0.009872391
distancia_mercado,0.009840598
year_normalized,0.009775236
trim_desde_paz,0.009678157
t_04_zscore_4q,0.009067218
t_13_volatilidad,0.00886669
iacv2_zscore_4q,0.008816306
iacv_n_mean_r3,0.008633566
ntl_ma2q_r3,0.008630057
iacv_r2,0.008526758
ntl_mean_q_volatilidad,0.008464606
iacv2_r3,0.008407603
t_01_r3,0.008204315
iacv_zscore_4q,0.008118821
ntl_delta_q_volatilidad,0.008076863
iacv_n_mean_r2,0.008045491
ntl_mean_q_r2,0.008045335
t_01_tendencia,0.008033907
oro_median_r1,0.007927877
iacv2_r4,0.007856422
t_09_n_mean_r3,0.007849985
t_12_volatilidad,0.007839234
oro_mean_r1,0.00782477
t_10_n_mean_r3,0.007810887
t_09_volatilidad,0.007719971
ntl_mean_q_r3,0.007523513
t_11_volatilidad,0.00734132
iacv2_aceleracion,0.0072824303
t_01_r1,0.0072313007
t_09_r1,0.007216662
ntl_median_q_r3,0.007081466
ntl_ma2q_volatilidad,0.006809453
t_12_r2,0.0067527536
ntl_last_q_r2,0.0066659795
t_09_r2,0.0066655534
t_01_r2,0.0066432897
t_12_r4,0.0065526757
t_09_r3,0.0065028286
ntl_sum_q_r4,0.006460948
t_13_r4,0.006449625
iacv2_n_mean_r2,0.0064076893
ntl_log_sum_q_r4,0.006279335
iacv2_pos_relativa,0.006212081
ntl_log_mean_q_r4,0.0061292555
ntl_log_mean_q_tendencia,0.0060478193
ntl_mean_q_r4,0.005963
t_14_n_mean_r4,0.00596168
t_13_r3,0.0059419256
ntl_median_q_volatilidad,0.0059132045
ntl_trend_q_volatilidad,0.005911546
t_10_r2,0.0058506713
t_11_tendencia,0.0058352887
altura,0.005814735
women_share,0.0057856347
t_09_r4,0.0057147997
ntl_sd_q_r4,0.005680909
t_04_pos_relativa,0.0056617106
t_12_n_mean_r1,0.005583677
t_14_volatilidad,0.005562408
t_03_n_mean_r1,0.005556377
ntl_mean_q_tendencia,0.005538728
iacv_r3,0.0055172606
t_16_n_mean_r1,0.0054938346
ntl_pct_change_q_volatilidad,0.005346277
ntl_sum_q_tendencia,0.0053037317
ntl_zscore_q_r1,0.005236668
ntl_median_q_r1,0.005230633
iacv2_tendencia,0.0051690554
quarter_sin,0.005123345
iacv_r1,0.0049843467
discapital,0.004931353
t_04_n_mean_r1,0.0048496546
t_09_n_mean_r4,0.0048457207
t_13_r2,0.0048223645
t_04_r1,0.004804093
t_08_volatilidad,0.004798369
ntl_last_q_tendencia,0.004660935
t_14_r2,0.004641504
ntl_sd_q_r3,0.0046111094
t_12_n_mean_r3,0.004586304
ia_pos_relativa,0.0045547057
delta_nbi,0.0044887164
t_10_n_mean_r1,0.004445959
ntl_ma2q_r4,0.0044338894
iacv2_r2,0.0044275783
ntl_sum_q_r2,0.004402799
t_13_tendencia,0.004260247
t_13_n_mean_r3,0.004155112
t_04_n_mean_r4,0.0040423996
t_03_tendencia,0.004025472
ntl_last_q_volatilidad,0.003882111
t_14_tendencia,0.0037973386
ntl_cv_q_r1,0.003778444
delta_ipm,0.003777211
t_03_n_mean_r3,0.003630111
ntl_log_sum_q_tendencia,0.003524758
ntl_trend_q_r2,0.00341082
t_08_r1,0.003380504
t_05_n_mean_r2,0.0033726385
ntl_cv_q_tendencia,0.0032795495
petroleo_crudo_median_r1,0.0032794985
t_05_n_mean_r3,0.0032752366
t_08_n_mean_r3,0.003258303
ntl_last_q_r1,0.0032574649
ntl_zscore_q_tendencia,0.0032316016
ntl_delta_q_r1,0.0031823507
t_05_n_mean_r1,0.003024938
ntl_pct_change_q_r4,0.002917373
ntl_pct_change_q_r1,0.002825749
ntl_trend_q_r3,0.0028187847
t_08_n_mean_r1,0.002589734
ntl_ma2q_r2,0.0025544146
t_14_n_mean_r2,0.0024114521
t_15_n_mean_r1,0.0023905789
t_03_r3,0.0022533096
ntl_cv_q_r4,0.0021128864
t_11_r3,0.0021040107
dismdo,0.001571933
t_15_r3,0.0013215829
t_07_r3,0.0011363196
ntl_log_sum_q_r1,0.0
ntl_log_mean_q_r3,0.0
ntl_log_median_q_r2,0.0
ntl_delta_q_r2,0.0
t_08_r4,0.0
t_08_r3,0.0
ntl_log_sum_q_r2,0.0
ntl_log_sum_q_r3,0.0
ntl_log_median_q_r4,0.0
ntl_log_median_q_r1,0.0
ntl_log_median_q_r3,0.0
ntl_delta_q_r3,0.0
ntl_trend_q_r4,0.0
ntl_log_mean_q_r2,0.0
t_10_r1,0.0
ntl_sum_q_r1,0.0
ntl_sum_q_r3,0.0
t_10_r4,0.0
ntl_sd_q_r1,0.0
ntl_sd_q_r2,0.0
t_10_r3,0.0
ntl_cv_q_r2,0.0
ntl_cv_q_r3,0.0
ntl_trend_q_r1,0.0
