Feature,Importance
iacv_volatilidad,0.021369884
population,0.017546047
iacv2_n_mean_r1,0.011039328
iacv_n_mean_r1,0.008296126
t_01_n_mean_r1,0.0076110717
dept_code,0.0070034303
t_01_r4,0.0067359013
iacv2_volatilidad,0.00663249
iacv_n_mean_r3,0.006430735
t_01_zscore_4q,0.006344861
iacv2_r4,0.006342698
indrural,0.006204985
iacv2_n_mean_r4,0.005915953
t_01_volatilidad,0.005655526
oro_mean_r1,0.005421162
t_01_n_mean_r3,0.005323555
t_01_r1,0.005171346
t_05_volatilidad,0.005134281
t_01_tendencia,0.005107655
t_01_n_mean_r4,0.005100031
t_10_volatilidad,0.005092263
iacv2_r1,0.004951503
ntl_ma2q_r4,0.004944593
t_01_r3,0.004924168
iacv_n_mean_r2,0.004865079
iacv_n_mean_r4,0.004827647
t_09_r3,0.0048031225
t_09_r1,0.0047940225
year_normalized,0.004788912
iacv2_zscore_4q,0.0047797095
ntl_ma2q_r3,0.0047375583
ntl_sum_q_r2,0.0046787686
iacv_r2,0.0046707005
t_09_volatilidad,0.004666323
t_01_n_mean_r2,0.0046432023
t_04_pos_relativa,0.0046179025
iacv2_n_mean_r2,0.004600204
iacv2_n_mean_r3,0.0045289076
areaoficialkm2,0.004508556
iacv_zscore_4q,0.004508387
iacv_r4,0.0045015984
t_10_n_mean_r3,0.004440204
t_09_n_mean_r1,0.0044003925
t_09_n_mean_r3,0.00439751
iacv2_r2,0.0043684845
t_12_r4,0.004367176
t_09_n_mean_r4,0.0043457067
women_share,0.004324159
t_13_volatilidad,0.0042225905
iacv2_pos_relativa,0.004222248
t_02_zscore_4q,0.004205722
ntl_median_q_r2,0.0042028967
t_13_r4,0.004198868
t_04_zscore_4q,0.0041806693
altura,0.004176865
discapital,0.00410125
iacv_r1,0.004077907
t_09_r2,0.0040718294
oro_median_r1,0.004048232
t_12_volatilidad,0.004037152
ntl_last_q_r4,0.0040216977
t_10_n_mean_r1,0.0040154452
iacv2_r3,0.003925523
iacv_r3,0.003913307
t_10_r1,0.0039109993
ntl_last_q_r2,0.003907338
ntl_mean_q_r4,0.003884192
t_01_pos_relativa,0.0038705235
t_10_r4,0.0038642415
ntl_median_q_r3,0.003835333
iacv_aceleracion,0.0038123096
iacv_pos_relativa,0.0037807857
t_04_r4,0.0037758101
t_11_n_mean_r3,0.003772011
t_03_n_mean_r1,0.003739294
t_13_r2,0.0037287157
ntl_sum_q_r3,0.0037258107
t_10_n_mean_r2,0.0037237285
t_16_r3,0.0036682915
delta_ipm,0.0036606044
distancia_mercado,0.0036570544
ntl_meses_validos_q_r1,0.0036341392
ntl_mean_q_r2,0.0036178718
t_09_r4,0.0036170138
t_14_volatilidad,0.0036054566
disbogota,0.0036040863
t_01_r2,0.003598088
ntl_sd_q_r4,0.0035846147
ntl_median_q_r4,0.0035805346
t_07_tendencia,0.0035565635
cafe_arabica_median_r1,0.003555944
ntl_last_q_volatilidad,0.0035280786
iacv2_aceleracion,0.0035063908
t_04_n_mean_r1,0.0034963447
ntl_prop_imputado_q_r2,0.0034598673
iacv2_tendencia,0.003448507
t_11_volatilidad,0.0034484558
ntl_mean_q_r1,0.0034462742
t_17_r3,0.0034462002
ntl_median_q_volatilidad,0.003436024
ntl_delta_q_r1,0.0034220244
iacv_tendencia,0.0033986312
ntl_mean_q_r3,0.0033959122
t_04_r1,0.0033805165
t_05_r1,0.0033778464
t_08_n_mean_r1,0.0033703833
quarter_sin,0.0033375407
ntl_last_q_r3,0.0033363486
t_13_r1,0.003328098
t_13_r3,0.0032592223
t_09_n_mean_r2,0.0032583221
ntl_log_median_q_volatilidad,0.0032508043
t_03_n_mean_r4,0.0032376375
t_12_r2,0.003236649
ntl_ma2q_tendencia,0.0032265799
t_14_r2,0.0032161546
ntl_sd_q_r3,0.0032161223
ntl_sum_q_r4,0.0032128722
trim_desde_paz,0.0031874913
igc_volatilidad,0.0031798806
t_08_volatilidad,0.0031650777
ntl_ma2q_r2,0.003161178
ntl_median_q_r1,0.0031348928
ntl_zscore_q_r1,0.0031129743
ntl_zscore_q_r4,0.0031064276
ntl_log_mean_q_tendencia,0.0031042022
t_04_r2,0.0031037466
t_14_n_mean_r1,0.0030972331
ntl_sd_q_r2,0.0030867786
t_13_n_mean_r1,0.0030859343
delta_ipm_ledu_p,0.003078539
t_11_tendencia,0.0030746628
ntl_mean_q_volatilidad,0.0030534964
t_14_r3,0.0030520563
covid_r1,0.003039183
ntl_trend_q_tendencia,0.0030186062
t_10_r3,0.0030047765
ntl_trend_q_volatilidad,0.002996735
t_02_n_mean_r4,0.002994947
delta_nbi,0.0029948605
t_14_n_mean_r4,0.0029870698
t_02_r4,0.002982319
ntl_delta_q_r2,0.002974587
t_11_n_mean_r4,0.0029560812
ntl_delta_q_volatilidad,0.0029449267
ntl_log_sum_q_tendencia,0.0029343572
ntl_sum_q_r1,0.0029337748
t_13_n_mean_r2,0.0029246544
ntl_trend_q_r4,0.0029147437
t_03_r3,0.0029026782
t_14_n_mean_r3,0.0029008014
t_04_tendencia,0.002897931
ntl_sd_q_r1,0.0028923515
t_16_n_mean_r3,0.0028863521
t_17_r2,0.0028827675
t_12_n_mean_r1,0.0028803847
ntl_last_q_tendencia,0.0028692505
ntl_trend_q_r3,0.0028662013
t_15_n_mean_r1,0.002860976
t_01_aceleracion,0.0028509065
ntl_meses_validos_q_r3,0.0028462457
ntl_sum_q_tendencia,0.002842808
t_15_n_mean_r4,0.002841935
ntl_cv_q_r4,0.002834814
ntl_delta_q_r4,0.002827572
ntl_pct_change_q_r3,0.0028141104
t_03_n_mean_r3,0.0028107231
t_13_tendencia,0.0028084188
ntl_meses_validos_q_volatilidad,0.0028058176
ntl_sd_q_tendencia,0.0028036344
ntl_cv_q_r1,0.0028029846
ntl_ma2q_r1,0.0028022688
quarter_cos,0.0027939572
ntl_mean_q_tendencia,0.0027910778
t_15_r4,0.0027881837
t_15_n_mean_r2,0.0027813895
t_12_n_mean_r2,0.0027780277
t_10_r2,0.0027594925
t_03_volatilidad,0.0027589104
ntl_cv_q_r2,0.0027586846
t_12_r3,0.0027446765
ntl_cv_q_volatilidad,0.0027436826
petroleo_crudo_median_r1,0.002742165
ntl_log_median_q_tendencia,0.0027414171
t_04_n_mean_r4,0.0027382262
ntl_cv_q_tendencia,0.0027373056
t_14_tendencia,0.002726637
t_10_n_mean_r4,0.0027258478
t_02_aceleracion,0.0027254475
t_04_n_mean_r2,0.0027219392
ntl_log_sum_q_volatilidad,0.002718436
t_14_r4,0.0027173907
t_08_tendencia,0.0027123766
dismdo,0.0027060027
ntl_log_mean_q_volatilidad,0.0027001705
t_15_n_mean_r3,0.002692081
ntl_delta_q_tendencia,0.0026786407
ntl_cv_q_r3,0.0026653872
ia_zscore_4q,0.002659069
ntl_ma2q_volatilidad,0.0026588023
t_08_n_mean_r3,0.002657695
t_05_n_mean_r4,0.0026567625
t_16_n_mean_r2,0.0026531809
t_13_n_mean_r4,0.0026465296
t_11_r1,0.0026384452
t_04_aceleracion,0.0026356452
t_15_r2,0.0026291728
covid_d_r1,0.0026240102
t_08_r1,0.0026227036
ntl_pct_change_q_r1,0.0026203925
ntl_pct_change_q_r4,0.002613691
t_08_r2,0.0026124665
t_04_n_mean_r3,0.0026113847
ntl_zscore_q_volatilidad,0.0025982254
ntl_trend_q_r1,0.0025928044
t_04_r3,0.0025904262
t_05_n_mean_r2,0.0025901836
t_12_n_mean_r3,0.0025842076
ntl_zscore_q_tendencia,0.002570614
ntl_sum_q_volatilidad,0.0025578754
ntl_delta_q_r3,0.002555478
t_07_volatilidad,0.002552403
ntl_pct_change_q_r2,0.0025467852
cafe_arabica_mean_r1,0.0025443959
igc_zscore_4q,0.0025369949
t_11_r4,0.0025362023
ntl_trend_q_r2,0.0025249731
petroleo_crudo_mean_r1,0.0025238406
t_17_n_mean_r2,0.0025188194
t_07_n_mean_r2,0.0025181554
ntl_pct_change_q_tendencia,0.0025149481
t_03_n_mean_r2,0.0025131565
ntl_sd_q_volatilidad,0.0025060584
t_07_r1,0.0025000118
t_04_volatilidad,0.0024938625
t_07_n_mean_r1,0.002487772
t_10_tendencia,0.0024796692
ntl_pct_change_q_volatilidad,0.0024619345
t_03_r1,0.002446642
iif_volatilidad,0.002443311
t_03_tendencia,0.002442972
ntl_meses_validos_q_tendencia,0.002442558
t_07_n_mean_r3,0.0024391583
t_16_n_mean_r1,0.0024388845
t_12_r1,0.0024377333
t_13_n_mean_r3,0.0024325342
t_15_tendencia,0.002419571
ntl_median_q_tendencia,0.0024134822
t_16_n_mean_r4,0.0023786086
t_14_n_mean_r2,0.0023779331
t_08_n_mean_r2,0.0023778933
t_08_r3,0.0023659267
t_15_r1,0.002357183
t_12_tendencia,0.0023571565
t_08_r4,0.0023340664
t_11_r2,0.002292538
covid_r2,0.0022899802
ntl_zscore_q_r2,0.0022674643
ntl_last_q_r1,0.0022648666
t_02_n_mean_r1,0.0022255424
ntl_zscore_q_r3,0.0022192192
covid_d_r2,0.0022146169
t_11_n_mean_r1,0.0022089079
t_12_n_mean_r4,0.0021894702
t_11_r3,0.0021770094
t_14_r1,0.0021731646
ntl_meses_validos_q_r4,0.002166924
t_03_pos_relativa,0.0021623503
t_08_n_mean_r4,0.002135713
t_17_n_mean_r3,0.0021341038
t_07_n_mean_r4,0.0021305676
t_03_zscore_4q,0.0020984372
t_15_r3,0.0020906415
t_16_volatilidad,0.0020698668
ntl_prop_imputado_q_r3,0.001996924
t_11_n_mean_r2,0.001980459
t_03_aceleracion,0.0019348582
t_02_volatilidad,0.0019343091
t_02_n_mean_r3,0.0019293845
t_09_tendencia,0.0019183006
t_15_volatilidad,0.00190815
t_02_n_mean_r2,0.0018593529
t_17_n_mean_r4,0.0018243913
t_07_r2,0.0018170016
t_07_r4,0.0017921947
ia_volatilidad,0.0017772127
t_16_r2,0.0017664277
ntl_prop_imputado_q_r4,0.0017640832
t_05_n_mean_r3,0.0017493307
t_03_r4,0.001701123
t_05_n_mean_r1,0.0016400089
t_02_r1,0.0015941998
t_07_r3,0.0015804991
t_02_r3,0.001534456
t_03_r2,0.0014279082
iif_tendencia,0.0012152556
ia_aceleracion,0.0011677908
ia_tendencia,0.0009834315
igc_tendencia,0.00097073684
t_05_r2,0.0007746176
t_02_r2,0.0
ntl_prop_imputado_q_tendencia,0.0
ntl_prop_imputado_q_volatilidad,0.0
t_05_fue_shock_r1,0.0
ntl_log_median_q_r4,0.0
igc_aceleracion,0.0
t_02_fue_shock_r1,0.0
t_02_pos_relativa,0.0
t_02_tendencia,0.0
t_01_fue_shock_r1,0.0
iif_fue_shock_r1,0.0
iif_zscore_4q,0.0
iif_aceleracion,0.0
iif_pos_relativa,0.0
igc_fue_shock_r1,0.0
igc_pos_relativa,0.0
ntl_log_median_q_r3,0.0
ia_fue_shock_r1,0.0
ia_pos_relativa,0.0
iacv2_fue_shock_r1,0.0
iacv_fue_shock_r1,0.0
t_17_n_mean_r1,0.0
t_17_r4,0.0
t_17_r1,0.0
t_16_r4,0.0
t_16_r1,0.0
t_03_fue_shock_r1,0.0
t_05_r4,0.0
t_05_r3,0.0
t_04_fue_shock_r1,0.0
ntl_log_median_q_r2,0.0
ntl_log_median_q_r1,0.0
ntl_log_sum_q_r4,0.0
ntl_log_sum_q_r3,0.0
ntl_log_sum_q_r2,0.0
ntl_log_sum_q_r1,0.0
ntl_log_mean_q_r4,0.0
ntl_log_mean_q_r3,0.0
ntl_log_mean_q_r2,0.0
ntl_log_mean_q_r1,0.0
ntl_prop_imputado_q_r1,0.0
ntl_meses_validos_q_r2,0.0
t_17_volatilidad,0.0
t_17_tendencia,0.0
t_16_tendencia,0.0
t_05_zscore_4q,0.0
t_05_aceleracion,0.0
t_05_pos_relativa,0.0
t_05_tendencia,0.0
trim_desde_paz_sq,0.0
