Feature,Importance
t_12_r1,0.047051538
population,0.038099717
t_12_r3,0.02903341
t_12_r4,0.028100936
iacv2_volatilidad,0.023303699
trim_desde_paz,0.02151108
iacv_n_mean_r4,0.020746293
t_01_r4,0.018823327
t_04_n_mean_r4,0.018089848
iacv2_r1,0.01755969
t_04_r3,0.016711056
ntl_log_sum_q_r4,0.016695539
t_13_r4,0.01616575
t_04_volatilidad,0.015066788
year_normalized,0.014102665
t_12_n_mean_r4,0.0138617465
iacv2_n_mean_r4,0.0132535435
quarter_cos,0.012912772
ntl_sum_q_r2,0.012517203
t_13_n_mean_r4,0.012332601
ntl_log_median_q_r3,0.011245245
iacv2_n_mean_r1,0.011069874
quarter_sin,0.010807619
ntl_log_mean_q_r1,0.010760198
iacv_r4,0.009954969
t_04_zscore_4q,0.0098109245
oro_median_r1,0.00979251
ntl_sum_q_r1,0.009592654
ntl_sum_q_r4,0.009491104
dept_code,0.009033694
ntl_median_q_r1,0.008805762
t_13_r1,0.00877467
t_04_n_mean_r1,0.008474595
ntl_ma2q_r2,0.00801441
iacv_volatilidad,0.007748934
t_01_r3,0.007738215
t_04_aceleracion,0.0076573836
t_04_r2,0.00758141
t_04_n_mean_r2,0.0074670566
t_09_r4,0.007405993
iacv2_n_mean_r2,0.0073798564
petroleo_crudo_mean_r1,0.0071734614
petroleo_crudo_median_r1,0.0071387244
t_01_n_mean_r2,0.006902856
oro_mean_r1,0.006778143
t_12_n_mean_r1,0.0066963667
indrural,0.0064469357
ntl_sd_q_r4,0.0064365403
cafe_arabica_mean_r1,0.0062400755
t_04_pos_relativa,0.0061159637
t_01_r2,0.0060749603
ntl_last_q_r2,0.0060575632
t_04_r1,0.0059740175
t_04_r4,0.005830629
ntl_sd_q_r3,0.005740285
areaoficialkm2,0.00543555
ntl_sum_q_volatilidad,0.005417781
ntl_mean_q_r1,0.005398006
altura,0.0052123284
t_01_r1,0.005159185
t_12_n_mean_r2,0.0051261797
t_09_n_mean_r4,0.004899002
ntl_zscore_q_r3,0.0048822938
women_share,0.00477989
t_14_n_mean_r4,0.0047046524
t_03_volatilidad,0.0046714186
ntl_sum_q_tendencia,0.004583627
t_12_volatilidad,0.0045508654
t_10_r2,0.0045312857
t_12_n_mean_r3,0.0044337474
t_07_r4,0.0044253045
cafe_arabica_median_r1,0.0043733455
t_13_tendencia,0.0043457877
t_08_n_mean_r4,0.004319808
ntl_delta_q_r1,0.0042713257
t_13_volatilidad,0.0042536543
ntl_log_mean_q_tendencia,0.0042337235
ntl_log_sum_q_tendencia,0.00423254
ntl_sd_q_r2,0.004225981
t_08_volatilidad,0.004203878
ntl_ma2q_r4,0.0041817864
t_14_n_mean_r1,0.004142106
ntl_sd_q_volatilidad,0.004125766
iacv2_n_mean_r3,0.004103282
ntl_trend_q_volatilidad,0.004076426
t_10_n_mean_r3,0.0040543354
ntl_cv_q_r3,0.0039568488
ntl_last_q_volatilidad,0.0038552005
ntl_cv_q_r1,0.0037902002
t_04_n_mean_r3,0.00377639
ntl_delta_q_r4,0.0037573136
t_03_r4,0.0036963543
ntl_meses_validos_q_r1,0.0036948612
t_13_n_mean_r1,0.0036553503
discapital,0.0036464224
ntl_delta_q_tendencia,0.0035559344
t_03_zscore_4q,0.003506402
delta_ipm_ledu_p,0.003473487
t_03_n_mean_r3,0.0034078828
t_08_r4,0.003368322
t_08_n_mean_r3,0.0033648498
ntl_cv_q_volatilidad,0.0033237317
disbogota,0.0033111516
delta_ipm,0.0033071958
t_03_r1,0.003302876
t_08_r2,0.003281928
ntl_pct_change_q_r1,0.0032719513
t_08_n_mean_r1,0.0032360186
t_10_n_mean_r2,0.003229868
ntl_zscore_q_tendencia,0.0032256688
t_02_n_mean_r4,0.003209644
ntl_delta_q_volatilidad,0.0031985478
ia_pos_relativa,0.003161477
ntl_cv_q_r4,0.0031494752
ntl_last_q_tendencia,0.0031454358
t_09_volatilidad,0.0030763042
t_03_n_mean_r2,0.0030613728
ntl_trend_q_r4,0.003041924
t_14_r3,0.0030343137
covid_d_r2,0.00303349
