Feature,Coeficiente,Abs_Coef,Odds_Ratio
iacv_r4,-0.20171461496180457,0.20171461496180457,0.8173281478866152
DF_desemp_fisc,-0.17499008712514993,0.17499008712514993,0.8394653422428411
docen_total,-0.16885105536120582,0.16885105536120582,0.8446346978275789
iacv_r3,-0.15241058077254632,0.15241058077254632,0.8586356690619499
iacv_r2,-0.13739629942011494,0.13739629942011494,0.8716247333009618
ipm_ti_p_2018,0.13405097748503153,0.13405097748503153,1.1434511084206904
altura,-0.132328591838082,0.132328591838082,0.8760530838862381
ipm_serv_pinf_p_2018,-0.13094349317399817,0.13094349317399817,0.8772673445837007
alumn_total,-0.12345764035394563,0.12345764035394563,0.883859080408926
ipm_hacinam_p_2018,-0.1152143218850721,0.1152143218850721,0.8911751251050658
ipm_excretas_p_2005,-0.08613036418301806,0.08613036418301806,0.9174746175946915
ipm_asisescu_p_2005,0.08364782772378859,0.08364782772378859,1.0872459285044598
iacv_r1,-0.059075471354386025,0.059075471354386025,0.9426356244851687
ipm_templeof_p_2018,-0.057964187190527525,0.057964187190527525,0.9436837427977246
ipm_paredes_p_2018,0.04856659974153915,0.04856659974153915,1.0497652835888103
y_corr,-0.0416706612789951,0.0416706612789951,0.9591856255267603
coca,0.0398725310272618,0.0398725310272618,1.040678111567551
ipm_rezagoescu_p_2018,0.0383214069508515,0.0383214069508515,1.0390651419742891
distancia_mercado,-0.036598023230556005,0.036598023230556005,0.9640635886371246
ipm_assalud_p_2005,0.03642740005261976,0.03642740005261976,1.0370990079511322
y_corr_tribut_IyC,0.03467483802868397,0.03467483802868397,1.035283019395838
ipm_paredes_p_2005,0.030470454850842783,0.030470454850842783,1.0309394303395734
indrural,-0.027600047868066163,0.027600047868066163,0.972777353384438
ipm_assalud_p_2018,-0.02720077972384771,0.02720077972384771,0.9731658299410578
ipm_accsalud_p_2005,0.02325074261778833,0.02325074261778833,1.023523148248063
ipm_accagua_p_2018,-0.014845691832289336,0.014845691832289336,0.9852639621503114
ipm_ti_p_2005,-0.013470596680933712,0.013470596680933712,0.9866197257858376
s11_total,0.011941083689675584,0.011941083689675584,1.0120126630575197
DF_deuda,-0.009633129799682543,0.009633129799682543,0.9904131201654054
ipm_templeof_p_2005,0.009479087674327329,0.009479087674327329,1.0095241565171744
ipm_excretas_p_2018,-0.008808306951916972,0.008808306951916972,0.9912303725335238
ipm_pisos_p_2005,-0.008678829848734712,0.008678829848734712,0.991358722479756
DF_ing_func,-0.00794795710297333,0.00794795710297333,0.9920835443953159
ipm_asisescu_p_2018,0.0074869111590826504,0.0074869111590826504,1.0075150081545674
amapola,-0.006056728675218691,0.006056728675218691,0.9939615763311065
ipm_hacinam_p_2005,-0.004927326927337699,0.004927326927337699,0.9950847924344635
ipm_ledu_p_2018,0.0038979089224559275,0.0038979089224559275,1.003905515649672
areaoficialkm2,-0.0034463639802289016,0.0034463639802289016,0.9965595679156658
ipm_accsalud_p_2018,0.001462578170108846,0.001462578170108846,1.0014636482591934
dismdo,-0.0011026926333399954,0.0011026926333399954,0.998897915108777
women_share,-0.0009469386002595537,0.0009469386002595537,0.9990535096046115
discapital,0.0,0.0,1.0
disbogota,0.0,0.0,1.0
ipm_ledu_p_2005,0.0,0.0,1.0
ipm_pisos_p_2018,0.0,0.0,1.0
ipm_accagua_p_2005,0.0,0.0,1.0
nbi_2005,0.0,0.0,1.0
nbi_2018,0.0,0.0,1.0
IPM_2005,0.0,0.0,1.0
ipm_rezagoescu_p_2005,0.0,0.0,1.0
IPM_2018,0.0,0.0,1.0
ipm_analf_p_2018,0.0,0.0,1.0
ipm_analf_p_2005,0.0,0.0,1.0
ipm_serv_pinf_p_2005,0.0,0.0,1.0
